name,lower,upper,plus
1st Klass,1.5,3.0,0
2 Chainz,75.0,100.0,1
2 Door Cinema Club,40.0,50.0,0
21 Pilots,25.0,35.0,1
3 Doors Down,150.0,250.0,0
30 Seconds to Mars,40.0,50.0,1
311,100.0,150.0,0
38 Special,35.0,45.0,0
3LAU,20.0,30.0,0
3OH!3,40.0,50.0,0
50 Cent,250.0,350.0,1
A Few Good Men,2.0,3.0,0
A Great Big World,30.0,40.0,1
A Static Lullaby,3.0,5.0,0
A Track,15.0,25.0,0
A$AP Rocky,85.0,120.0,0
Aaron Tippin,25.0,40.0,0
Adam Lambert,85.0,125.0,0
Adele,750.0,750.0,1
Adventure Club,15.0,20.0,0
Afrojack,75.0,100.0,0
Against Me,50.0,50.0,1
Airborne Toxic Event,20.0,25.0,1
Akon,75.0,100.0,1
Alabama Shakes,90.0,125.0,1
Alanis Morrisette,100.0,150.0,0
Alesso,85.0,125.0,0
Alex Clare,30.0,50.0,0
Alexa Ray Joel,5.0,10.0,0
Alexis Jordan,10.0,15.0,0
Alicia Keys,350.0,500.0,0
Alien Ant Farm,10.0,20.0,0
All American Rejects,50.0,75.0,0
All Time Low,35.0,45.0,0
Allen Stone,20.0,40.0,0
Aloe Blacc,25.0,40.0,0
American Authors,50.0,50.0,1
Amerie,20.0,30.0,0
Anberlin,20.0,30.0,0
Andrew Allen,15.0,25.0,0
Andrew Bird,35.0,45.0,0
Andrew McMachon (,30.0,40.0,0
Andrew WK,20.0,30.0,0
Andy Grammer,30.0,40.0,1
Ani Difranco,30.0,50.0,0
Anna Kendrick,35.0,50.0,1
Anna Lunoe,1.0,5.0,0
Anthony Hamilton,40.0,50.0,0
Arcade Fire,150.0,150.0,1
Arctic Monkeys,75.0,100.0,0
Ari Hest,5.0,5.0,1
Arrested Developmen,15.0,20.0,0
As Tall As Lions,5.0,10.0,0
Ashanti,25.0,40.0,0
Asher Roth,17.5,25.0,0
Atmosphere,30.0,50.0,1
Augustan,15.0,20.0,0
Austin Mahone,50.0,50.0,1
Authority Zero,3.0,5.0,0
Avenged Sevenfold,100.0,100.0,1
Avicii,150.0,200.0,1
Awolnation,40.0,60.0,1
Axwell,100.0,100.0,1
B.o.B.,60.0,80.0,0
BB King,75.0,100.0,0
Baby Bash,10.0,20.0,0
Bag Raiders,7.5,10.0,0
Barenaked Ladies,75.0,125.0,0
Bassnectar,100.0,150.0,1
Bastille,40.0,60.0,1
Bayside,7.0,10.0,1
Bedouin Soundclash,5.0,10.0,0
Beebs & Moneymaker,5.0,10.0,0
Beenie Man,15.0,20.0,0
Beirut,25.0,35.0,1
Ben Folds,40.0,50.0,0
Ben Harper,100.0,150.0,0
Ben Kweller (band),10.0,15.0,0
Ben Kweller (solo),7.5,12.5,0
Ben Lee,7.0,10.0,0
