2 Door Cinema Club         	$40-50k        
30 Seconds to Mars         	$40-50k+
38 Special                 	$35-45k        
3OH!3                      	$40-50k        
A Great Big World          	$30-40k+
Alex Clare                 	$30-50k        
All Time Low               	$35-45k        
Andrew Bird                	$35-45k        
Andrew McMachon (	$30-40k        
Andy Grammer               	$30-40k+
Ani Difranco               	$30-50k        
Anna Kendrick              	$35-50k+
Anthony Hamilton           	$40-50k        
Atmosphere                 	$30-50k+
Awolnation                 	$40-60k+
Bastille                   	$40-60k+
Ben Folds                  	$40-50k        
Big Boi                    	$40-60k+
Big Gigantic               	$35-50k+
Billy Ray Cyrus            	$40-50k+
Black Crowes               	$40-50k        
Blues Traveler             	$30-40k        
Broken Social Scene        	$35-50k        
Bruce Hornsby              	$35-50k+
Capital Cities             	$40-60k+
Charlie Daniels Band       	$40-50k        
Cheap Trick                	$45-70k        
Cher Lloyd                 	$30-$50k       
Chevelle                   	$40-60k+
Chris Young                	$40-60k        
Chromeo            	$40-50k        
Chvrches                   	$30-50k        
Citizen Cope               	$30-40k        
Cobra Starship              	$40-60k
Cold War Kids               	$30-40k+
Common                      	$40-50k
Craig Morgan                	$35-50k
Danny Gokey                	$30k+
Daryl Worley               	$30-50k
Dashboard Confessio	$40-50k
David Archuletta           	$30-50k+
David Crosby & Grah        	$35-50k
Diamond Rio                	$40-60k+
DJ Pauly D                 	$40-60k+
Eagles of Death Meta	$35-45k
Easton Corbin              	$40-60k+
Elvis Crespo                	$35-50k
Faith Evans                 	$35-50k
Fat Joe                   	$30-50k
Fitz & the Tantrums        	$30-50k
Flyleaf                     	$30-40k
Fonseca                     	  $50k
Foreigner                   	$40-50k+
French Montana             	$30-50k
Future                      	$40-60k
Girl Talk                   	$35-50k
Hitrecord-JosGorLevi        	$30-40k
Ice Cube                    	$30k+
Ingrid Michaelson            	$35-50k+
Ja Rule                      	$40-50k
Jack's Mannequin             	$40-60k
Janelle Monae               	$40-75k+
Jay Sean                  	$40-60k
Jo Dee Messina               	$35-45k
Joan Jett                  	$40-60k+
John Michael Montgo 	$35-50k+
John Newman         	$30-50k+ 
John Secada         	$40-60k+  
Juicy J              	$40-60k+ 
Jurassic 5          	$40-50k   
Justin Moore        	$40-60k+  
Karmin               	$40-50k+  
Kelis               	$30k+     
Kenny Wayne Shephe  	 $35k     
Kid Ink             	$40-75k   
Lee Brice           	$40-60k+  
Local Natives       	$30k+
Lorrie Morgan       	$35-40k   
Matisyahu           	$40-50k+  
Matt & Kim          	$35-50k+  
Matt Nathanson      	$40-60k+  
MIA                 	$40-50k+  
Michael Franti & Spe 	$40-60k   
Michelle Branch     	$30-40k   
Mighty Mighty Bosst	$40-50k   
Miguel              	$45-75K   
Mike Posner         	$40-50k   
MOE                 	$35-50k+  
Needtobreathe       	$45-60k   
Neon Trees          	$40-45k   
Nickel Creek        	$40-60k   
OK Go               	$35-50k   
Olly Murs           	$40-60k   
Owl City            	$40-60k+  
Papa Roach          	$40-50k+  
Phil Vassar         	$40-75k   
Plain White T's      	$30-40K   
Puddle of Mudd      	$35-50k   
Redman/Methodman    	$30-40k   
Regina Spektor      	$35-50k+
Rick Ross           	$30-50k
Rick Springfield    	$40-60k
Santigold           	$40-60k
Scan Kingston       	$30k+
Sevendust           	$30-40k
Sevyn Streeter      	$30-40k
Shedaisy            	$40-60k+
Slash               	$45-65k
Slightly Stoopid    	$40-60k+
Smash Mouth         	$40-60k
Sugar Ray           	$30-50k
Sum 41              	$30-50k
Switchfoot          	$30-40k
T-Pain               	$35-45k
Terri Clark         	$30-50k
The Bravery         	$30-40k
The Dandy Warhols   	$40-50k
The Dream           	$40-75k
The Game            	$30-50k+
The National        	$30-40k+
The Neighborhood    	$40-60k+
The Starting Line   	$40-60k+
The Ting Tings      	$40-50k+
The Wallflowers     	$35-50k
Theory of a Deadman 	$40-75k
Thompson Square     	$40-50k
Timeflies           	$40-60k+
Toby Mac            	$40-60k+
Tracy Lawrence      	$40-60k
Travie McCoy (GCH)  	$40k+
Trombone Shorty     	$40-50k+
Walk The Moon       	$40-60k
